ID;Internal ID;;;;RbcL_ID;RbcL_based_taxa;;;RbcL_ID2;RbcL_based_taxa2;;;;RbcL_ID3;RbcL_based_taxa3
ptMAG_rbcL_202_265;N2434;;;;ptMAG_rbcL_149;Chlorophyceae;;;EF165151.1;Chrysophyceae;;;;CM040116;Florideophyceae
ptMAG_rbcL_203_266;N2201;;;;ptMAG_rbcL_148;Chlorophyceae;;;EF165155.1;Chrysophyceae;;;;AF041468;Cryptophyceae
KP686075_1269;N2196;;;;ptMAG_rbcL_147;Chlorophyceae;;;ptMAG_rbcL_48;Chrysophyceae;;;;KT428890;Cryptophyceae
JQ237893_1242;N2412;;;;ptMAG_rbcL_146;Chlorophyceae;;;AF015571.1;Chrysophyceae;;;;OM827252;Coscinodiscophyceae
NC_027288_1357;N2205;;;;ptMAG_rbcL_145;Trebouxiophyceae;;;ptMAG_rbcL_49;Chrysophyceae;;;;MN709220;Chlorophyceae
KT223519_1273;N2175;;;;ptMAG_rbcL_144;Chlorophyceae;;;ptMAG_rbcL_69;Chrysophyceae;;;;NC_028583;Chlorophyceae
NC_071861_1404;N2189;;;;ptMAG_rbcL_143;Trebouxiophyceae;;;ptMAG_rbcL_67;Chrysophyceae;;;;MK045450;Bacillariophyceae
MH898669_1308;N2184;;;;ptMAG_rbcL_142;Chlorophyceae;;;ptMAG_rbcL_4;Chrysophyceae;;;;ON584177;Ulvophyceae
OP179283_1446;N2100;;;;ptMAG_rbcL_141;Trebouxiophyceae;;;KJ877675;Chrysophyceae;;;;CP124543;Cyanophyceae
NC_038187_1376;N2103;;;;ptMAG_rbcL_140;Trebouxiophyceae;;;ptMAG_rbcL_89;Chrysophyceae;;;;LC564893;Haptophyta_XX
NC_071862_1405;N2110;;;;ptMAG_rbcL_14;Diatoms;;;ptMAG_rbcL_104;Chrysophyceae;;;;KX131180;Chlorophyceae
X70810_1436;N2076;;;;ptMAG_rbcL_139;Streptophyta;;;ptMAG_rbcL_77;Chrysophyceae;;;;NC_067581;Bacillariophyceae
MF622086_1301;N2061;;;;ptMAG_rbcL_138;Streptophyta;;;EF165179.1;Chrysophyceae;;;;NC_044491;Bacillariophyceae
OP179278_1426;N1972;;;;ptMAG_rbcL_137;Chlorophyceae;;;EF165176.1;Chrysophyceae;;;;KY407661;Ulvophyceae
ptMAG_rbcL_150_213;N1177;;;;ptMAG_rbcL_136;Mamiellophyceae;;;ptMAG_rbcL_100;Chrysophyceae;;;;OL855989;Mediophyceae
KY710883.1_494;N1304;;;;ptMAG_rbcL_135;Trebouxiophyceae;;;ptMAG_rbcL_74;Chrysophyceae;;;;NC_067954;Mediophyceae
KY710894.1_492;N2667;;;;ptMAG_rbcL_134;Chlorophyceae;;;AF015570.1;Chrysophyceae;;;;LC648964;Cryptophyceae
KY283842.1_635;N2607;;;;ptMAG_rbcL_133;Trebouxiophyceae;;;ptMAG_rbcL_45;Chrysophyceae;;;;LC269919;Raphidophyceae
NC_025541_1349;N2613;;;;ptMAG_rbcL_132;Streptophyta;;;ptMAG_rbcL_88;Chrysophyceae;;;;NC_084269;Chlorophyceae
KY283840.1_636;N2626;;;;ptMAG_rbcL_131;Chlorophyceae;;;EF165184.1;Chrysophyceae;;;;KY114065;Chlorophyceae
MF100789.1_568;N929;;;;ptMAG_rbcL_130;Ulvophyceae;;;NC_056910;Chrysophyceae;;;;NC_034712;Ulvophyceae
KY283834.1_640;N932;;;;ptMAG_rbcL_13;Dictyochophyceae;;;ptMAG_rbcL_6;Chrysophyceae;;;;NC_025542;Klebsormidiophyceae
KY710901.1_488;N973;;;;ptMAG_rbcL_129;Dictyochophyceae;;;ptMAG_rbcL_64;Chrysophyceae;;;;KT625414;Chlorophyceae
MN334214.1_447;N936;;;;ptMAG_rbcL_128;Mamiellophyceae;;;AF155876.1;Chrysophyceae;;;;NC_028581;Chlorophyceae
MN334215.1_446;N2696;;;;ptMAG_rbcL_127;Chlorophyceae;;;EF165180.1;Chrysophyceae;;;;ON986220;Trebouxiophyceae
MF100792.1_565;N2673;;;;ptMAG_rbcL_126;Cryptophyceae;;;EF165182.1;Chrysophyceae;;;;KT199250;Chlorophyceae
KY710867.1_501;N2821;;;;ptMAG_rbcL_125;Streptophyta;;;ptMAG_rbcL_65;Chrysophyceae;;;;NC_024167;Klebsormidiophyceae
KY710875.1_496;N2704;;;;ptMAG_rbcL_124;Streptophyta;;;EF165181.1;Chrysophyceae;;;;KM462868;Trebouxiophyceae
KY710864.1_503;N914;;;;ptMAG_rbcL_123;Streptophyta;;;ptMAG_rbcL_38;Raphidophyceae;;;;KM462874;Trebouxiophyceae
KY710869.1_499;N491;;;;ptMAG_rbcL_122;Streptophyta;;;LC269919;Raphidophyceae;;;;CP083582;Cyanophyceae
KY710870.1_498;N422;;;;ptMAG_rbcL_121;Streptophyta;;;AF015581.1;Raphidophyceae;;;;MF276976;Chlorophyceae
KY283837.1_638;N421;;;;ptMAG_rbcL_120;Chlorophyceae;;;DQ273989.1;Raphidophyceae;;;;KU059765;Ulvophyceae
OQ208933.1_308;N1067;;;;ptMAG_rbcL_12;Diatoms;;;ptMAG_rbcL_111;Pelagophyceae;;;;NC_027093;Dinophyceae
KY283839.1_637;N1103;;;;ptMAG_rbcL_119;Streptophyta;;;ptMAG_rbcL_84;Pelagophyceae;;;;NC_039971;Euglenida
KY710871.1_497;N1111;;;;ptMAG_rbcL_118;Eustigmatophyceae;;;CM075647;Pelagophyceae;;;;NC_039928;Euglenida
KY283844.1_634;N1135;;;;ptMAG_rbcL_117;Eustigmatophyceae;;;AF015580.1;Pelagophyceae;;;;NC_039970;Euglenida
KY710868.1_500;N1120;;;;ptMAG_rbcL_116;Eustigmatophyceae;;;ptMAG_rbcL_58;Pelagophyceae;;;;MH898669;Euglenida
MF100788.1_569;N2528;;;;ptMAG_rbcL_115;Chrysophyceae;;;U89898.1;Pelagophyceae;;;;NC_024084;Mediophyceae
KY710861.1_505;N2475;;;;ptMAG_rbcL_114;Eustigmatophyceae;;;JX297813;Pelagophyceae;;;;MG755795;Bacillariophyceae
KY710900.1_489;N2420;;;;ptMAG_rbcL_113;Eustigmatophyceae;;;ptMAG_rbcL_108;Pelagophyceae;;;;KM821265;Trebouxiophyceae
MG674844.1_512;N2454;;;;ptMAG_rbcL_112;Eustigmatophyceae;;;ptMAG_rbcL_86;Pelagophyceae;;;;NC_040135;Chrysophyceae
KY710878.1_495;N2435;;;;ptMAG_rbcL_111;Pelagophyceae;;;AF015583.1;Pelagophyceae;;;;KM462870;Pedinophyceae
MF100790.1_567;N2198;;;;ptMAG_rbcL_110;Chrysophyceae;;;NC_012903;Pelagophyceae;;;;NC_025549;Trebouxiophyceae
MG674840.1_514;N2413;;;;ptMAG_rbcL_11;Diatoms;;;MT439864.1;Pelagophyceae;;;;ON986221;Trebouxiophyceae
GroupDREPX565_Consensus_-_rbcL_gene_16;N2206;;;;ptMAG_rbcL_109;Cryptophyceae;;;MT439865.1;Pelagophyceae;;;;LC604816;Chlorophyceae
KY710866.1_502;N2211;;;;ptMAG_rbcL_108;Pelagophyceae;;;AF372696.1;Bolidophyceae;;;;NC_082194;Pterocystida
KY710893.1_493;N2176;;;;ptMAG_rbcL_107;Chrysophyceae;;;ptMAG_rbcL_26;Bolidophyceae;;;;OQ161672;Pterocystida
MG674841.1_513;N2179;;;;ptMAG_rbcL_106;Chrysophyceae;;;KR998419.1;Bolidophyceae;;;;OQ161670;Pterocystida
KY710858.1_506;N2186;;;;ptMAG_rbcL_105;Xanthophyceae;;;AB430698.1;Bolidophyceae;;;;NC_002186;Mesostigmatophyceae
MF100791.1_566;N2105;;;;ptMAG_rbcL_104;Chrysophyceae;;;ptMAG_rbcL_17;Bolidophyceae;;;;NC_024169;Zygnemophyceae
KY710863.1_504;N2168;;;;ptMAG_rbcL_103;Chrysophyceae;;;NC_027746;Bolidophyceae;;;;MH983006;Trebouxiophyceae
OQ942923_1078;N2111;;;;ptMAG_rbcL_102;Chrysophyceae;;;AB546640.1;Bolidophyceae;;;;MN649872;Trebouxiophyceae
KF693825.1_821;N2088;;;;ptMAG_rbcL_101;Cryptophyceae;;;OM827252;Diatoms;;;;NC_071969;Trebouxiophyceae
GroupDREPX239_Bin_FERT_9_17-contigsc0016_-_rbcL_gene_7;N2077;;;;ptMAG_rbcL_100;Chrysophyceae;;;NC_038003;Diatoms;;;;CP020771;Cyanophyceae
OK626429.1_345;N2069;;;;ptMAG_rbcL_10;Diatoms;;;KJ577908.1;Diatoms;;;;NC_012575;Mamiellophyceae
LC769883.1_311;N2062;;;;ptMAG_rbcL_1;Haptophyta;;;KC309614.1;Diatoms;;;;MN056173;Mamiellophyceae
UnusedGroupDREPX546_Bin_BALM_14_22-contigsc0006_-_rbcL_gene_59;N1973;;;;;;;;HQ912478.1;Diatoms;;;;KM462876;Trebouxiophyceae
ptMAG_rbcL_135_198;N2010;;;;;;;;KJ577892.1;Diatoms;;;;KX839260;Eustigmatophyceae
ptMAG_rbcL_190_253;N1269;;;;;;;;MZ542384.1;Diatoms;;;;NC_012101;Mamiellophyceae
OK030949.1_408;N1178;;;;;;;;KJ577880.1;Diatoms;;;;NC_027287;Euglenida
ptMAG_rbcL_200_263;N1928;;;;;;;;MG755791;Diatoms;;;;JX457480;Euglenida
GroupDREPX251_Bin_VSVK_22_29-contigsc0011_-_rbcL_gene_11;N1305;;;;;;;;NC_059929;Diatoms;;;;NC_029671;Chlorophyceae
KM462886_1265;N2614;;;;;;;;KC509521;Diatoms;;;;NC_025525;Trebouxiophyceae
ptMAG_rbcL_170_233;N2627;;;;;;;;MW561225;Diatoms;;;;KC598090;Eustigmatophyceae
GroupDREPX250_Bin_ROSX_18_26-contigsc0170_-_rbcL_gene_10;N2634;;;;;;;;HQ912535.1;Diatoms;;;;KC598084;Eustigmatophyceae
GroupDREPX250_Bin_SZYM_18_24-contigsc0004_-_rbcL_gene_9;N1005;;;;;;;;KC309581.1;Diatoms;;;;MN276191;Bacillariophyceae
GroupDREPX250_Bin_ZLUT_103_5_31-contigsc0251_-_rbcL_gene_8;N974;;;;;;;;HQ912516.1;Diatoms;;;;OL415007;Bacillariophyceae
ptMAG_rbcL_143_206;N958;;;;;;;;JX413573.1;Diatoms;;;;NC_029670;Chlorophyceae
MK257138.1_418;N937;;;;;;;;OP297423.1;Diatoms;;;;NC_025535;Trebouxiophyceae
ptMAG_rbcL_154_217;N2697;;;;;;;;HQ912438.1;Diatoms;;;;KY407660;Ulvophyceae
NC_025549_1352;N2700;;;;;;;;KJ577877.1;Diatoms;;;;MH795132;Chrysophyceae
OK569791_1077;N2674;;;;;;;;OP297475.1;Diatoms;;;;NC_024829;Nephroselmidophyceae
EF113444.1_1014;N2685;;;;;;;;OM827248;Diatoms;;;;NC_059722;Nephroselmidophyceae
MW077579.1_443;N2822;;;;;;;;MG755799;Diatoms;;;;AF137379;Nephroselmidophyceae
ptMAG_rbcL_141_204;N2825;;;;;;;;OP297419.1;Diatoms;;;;NC_030356;Zygnemophyceae
ptMAG_rbcL_174_237;N2706;;;;;;;;KJ577909.1;Diatoms;;;;KX306884;Charophyceae
ptMAG_rbcL_166_229;N916;;;;;;;;HQ912502.1;Diatoms;;;;MW556321;Charophyceae
ptMAG_rbcL_156_219;N492;;;;;;;;HQ912548.1;Diatoms;;;;NC_065388;Bacillariophyceae
ptMAG_rbcL_201_264;N671;;;;;;;;HQ912505.1;Diatoms;;;;NC_061047;Bacillariophyceae
AY543047.1_715;N458;;;;;;;;HQ912506.1;Diatoms;;;;MT742551;Bacillariophyceae
KC631634_1244;N423;;;;;;;;HQ912512.1;Diatoms;;;;MT383638;Bacillariophyceae
KF693822.1_822;N2834;;;;;;;;JX413567.1;Diatoms;;;;OK505007;Bacillariophyceae
EF113445.1_1013;N420;;;;;;;;MG763887.1;Diatoms;;;;CP002059;Cyanophyceae
EF113433.1_1018;N1112;;;;;;;;HQ912547.1;Diatoms;;;;KJ877675;Chrysophyceae
FJ968741_1240;N1115;;;;;;;;MH424437.1;Diatoms;;;;NC_067955;Mediophyceae
KM462885_1264;N1136;;;;;;;;HQ912544.1;Diatoms;;;;KX507373;Chlorophyceae
ptMAG_rbcL_227_290;N1121;;;;;;;;AB430669.1;Diatoms;;;;MT364368;Chlorophyceae
GroupDREPX252_Consensus_-_rbcL_gene_13;N1126;;;;;;;;HQ912549.1;Diatoms;;;;MW250871;Chlorophyceae
ptMAG_rbcL_222_285;N2476;;;;;;;;JX413565.1;Diatoms;;;;EU677193;Chlorophyceae
GroupDREPX252_Consensus_-_rbcL_gene_12;N2421;;;;;;;;HQ912503.1;Diatoms;;;;DQ291132;Ulvophyceae
ptMAG_rbcL_217_280;N2426;;;;;;;;NC_031425;Diatoms;;;;NC_028580;Chlorophyceae
ptMAG_rbcL_140_203;N2455;;;;;;;;HQ912517.1;Diatoms;;;;CP003614;Cyanophyceae
EF113405.1_1027;N2462;;;;;;;;MF578745.1;Diatoms;;;;OK189531;Ulvophyceae
ptMAG_rbcL_194_257;N2436;;;;;;;;MZ542378.1;Diatoms;;;;OK189524;Ulvophyceae
MW172431.1_420;N2445;;;;;;;;NC_025313;Diatoms;;;;OK189527;Ulvophyceae
GroupDREPX267_Bin_GOSK_44_8-contigsc0001_-_rbcL_gene_15;N2208;;;;;;;;NC_057645;Diatoms;;;;OK189528;Ulvophyceae
MT920676_1322;N2409;;;;;;;;LC537471;Diatoms;;;;OK189529;Ulvophyceae
KP271969_1267;N2212;;;;;;;;NC_053621;Diatoms;;;;KU979013;Ulvophyceae
GroupDREPX261_Bin_MILA_54_4_1-contigsc0036_-_rbcL_gene_14;N2170;;;;;;;;MW845779;Diatoms;;;;OQ349515;Ulvophyceae
ptMAG_rbcL_228_291;N2112;;;;;;;;MK642493.1;Diatoms;;;;KF285530;Mamiellophyceae
KJ742376_1249;N2139;;;;;;;;KC309564.1;Diatoms;;;;AP017927;Palmophyllophyceae
MK295209.1_466;N2089;;;;;;;;NC_067954;Diatoms;;;;FJ968741;Trebouxiophyceae
MH983006_1309;N2085;;;;;;;;HQ912441.1;Diatoms;;;;NC_025540;Trebouxiophyceae
UnusedGroupDREPX909_Bin_GREF_79_4_3-contigsc0078_-_rbcL_gene_60;N2078;;;;;;;;ptMAG_rbcL_31;Diatoms;;;;NC_069610;Coscinodiscophyceae
MN649872_1318;N2063;;;;;;;;MG755808;Diatoms;;;;NC_042241;Chlorophyceae
KF554427_1247;N2066;;;;;;;;MZ542383.1;Diatoms;;;;KM462869;Trebouxiophyceae
NC_071969_1406;N1974;;;;;;;;MG755793;Diatoms;;;;NC_036668;Chlorophyceae
NC_034712_1373;N1991;;;;;;;;NC_067957;Diatoms;;;;MF276980;Chlorophyceae
EF113434.1_1017;N2011;;;;;;;;NC_024084;Diatoms;;;;MF276979;Chlorophyceae
NC_065389_1398;N2014;;;;;;;;ptMAG_rbcL_12;Diatoms;;;;FJ968740;Pedinophyceae
NC_028581_1360;N1301;;;;;;;;AY604696.1;Diatoms;;;;NC_025530;Pedinophyceae
KT625414_1274;N1270;;;;;;;;KC309600.1;Diatoms;;;;MH591108;Ulvophyceae
EF113480.1_1000;N1179;;;;;;;;OM827249;Diatoms;;;;JX297813;Pelagophyceae
NC_028578_1358;N1188;;;;;;;;NC_069610;Diatoms;;;;KT625422;Chlorophyceae
OR858607_1435;N1929;;;;;;;;MZ542394.1;Diatoms;;;;NC_039927;Euglenida
MG721937.1_574;N1950;;;;;;;;KC309607.1;Diatoms;;;;NC_039967;Euglenida
AM260447.1_831;N1769;;;;;;;;HQ912513.1;Diatoms;;;;NC_071864;Euglenida
AF189068.1_722;N1306;;;;;;;;HQ912431.1;Diatoms;;;;MT471330;Prymnesiophyceae
NC_009681_1329;N2615;;;;;;;;KC309610.1;Diatoms;;;;MN937452;Diatomeae_X
KM462869_1256;N2629;;;;;;;;AB430661.1;Diatoms;;;;NC_072900;Trebouxiophyceae
KM462882_1261;N2636;;;;;;;;FJ002129.1;Diatoms;;;;OQ942923;Trebouxiophyceae
MW269655.1_468;N976;;;;;;;;AY569603.1;Diatoms;;;;NC_024828;Picocystophyceae
KM462876_1260;N959;;;;;;;;ptMAG_rbcL_29;Diatoms;;;;MG755792;Bacillariophyceae
ptMAG_rbcL_177_240;N938;;;;;;;;OK502205.1;Diatoms;;;;MG755794;Mediophyceae
KF693821.1_823;N2682;;;;;;;;AY569592.1;Diatoms;;;;NC_009681;Chlorophyceae
OR493440.1_304;N2675;;;;;;;;AB430659.1;Diatoms;;;;OL415008;Bacillariophyceae
KM821265_1266;N2693;;;;;;;;ptMAG_rbcL_14;Diatoms;;;;ON986224;Trebouxiophyceae
NC_045839_1397;N2686;;;;;;;;KU556402.1;Diatoms;;;;AP014543;Ulvophyceae
JN573844.1_963;N2826;;;;;;;;OR621302.1;Diatoms;;;;MF385003;Bangiophyceae
NC_025525_1342;N2829;;;;;;;;MF001961.1;Diatoms;;;;NC_023133;Porphyridiophyceae
NC_025535_1346;N2818;;;;;;;;HQ912429.1;Diatoms;;;;KJ746597;Palmophyllophyceae
KM462865_1254;N2707;;;;;;;;MG755794;Diatoms;;;;KJ746598;Prasinodermophyceae
ptMAG_rbcL_173_236;N604;;;;;;;;HQ912487.1;Diatoms;;;;KM462862;Trebouxiophyceae
NC_025529_1344;N493;;;;;;;;KC309573.1;Diatoms;;;;MG755791;Mediophyceae
ptMAG_rbcL_186_249;N672;;;;;;;;HQ912428.1;Diatoms;;;;LC648957;Cryptophyceae
MW077578.1_444;N685;;;;;;;;NC_067955;Diatoms;;;;KX306821;Ulvophyceae
OP791907.1_312;N460;;;;;;;;OP297435.1;Diatoms;;;;OK505011;Bacillariophyceae
ptMAG_rbcL_164_227;N424;;;;;;;;OP297472.1;Diatoms;;;;NC_038004;Bacillariophyceae
EF589151.1_625;N427;;;;;;;;MF578765.1;Diatoms;;;;CP112874;Cyanophyceae
KM462868_1255;N2835;;;;;;;;NC_038002;Diatoms;;;;MW853965;Bacillariophyceae
MW077588.1_442;N2838;;;;;;;;HQ912530.1;Diatoms;;;;MW722940;Bacillariophyceae
HM754409.1_693;N417;;;;;;;;MG755806;Diatoms;;;;KR709240;Bacillariophyceae
JN573835.1_964;N416;;;;;;;;MG755805;Diatoms;;;;NC_025529;Trebouxiophyceae
ON805847.1_391;N1138;;;;;;;;MG755798;Diatoms;;;;KM462886;Trebouxiophyceae
JN573852.1_962;N1122;;;;;;;;MK817352.1;Diatoms;;;;NC_039525;Ulvophyceae
JN573830.1_965;N1128;;;;;;;;AB430689.1;Diatoms;;;;KT199256;Chlorophyceae
KM462864_1209;N2423;;;;;;;;AB430686.1;Diatoms;;;;KY407657;Chlorophyceae
MF347442.1_601;N2427;;;;;;;;OL855989;Diatoms;;;;MF276985;Chlorophyceae
LN877813.1_770;N2430;;;;;;;;HQ912536.1;Diatoms;;;;MF276983;Chlorophyceae
LN877817.1_769;N2457;;;;;;;;MK817338.1;Diatoms;;;;NC_044408;Dictyochophyceae
EF203012.1_762;N2463;;;;;;;;AB430668.1;Diatoms;;;;NC_012097;Pyramimonadophyceae
KM462862_1253;N2437;;;;;;;;DQ514768.1;Diatoms;;;;FJ493499;Pyramimonadophyceae
EF203011.1_763;N2447;;;;;;;;ptMAG_rbcL_9;Diatoms;;;;AP018038;Chlorophyceae
AF189066.1_1059;N2356;;;;;;;;DQ514769.1;Diatoms;;;;AP014542;Ulvophyceae
AF189067.1_1058;N2213;;;;;;;;AB831883.1;Diatoms;;;;KY819065;Ulvophyceae
AY694206.1_701;N2113;;;;;;;;ptMAG_rbcL_10;Diatoms;;;;NC_039526;Ulvophyceae
HQ174310.1_469;N2120;;;;;;;;HQ912426.1;Diatoms;;;;NC_043890;Dictyochophyceae
KX108858.1_678;N2140;;;;;;;;KJ958483;Diatoms;;;;NC_038003;Coscinodiscophyceae
KF693818.1_824;N2090;;;;;;;;NC_025314;Diatoms;;;;MG755793;Coscinodiscophyceae
EF113467.1_1006;N2079;;;;;;;;MT385839;Diatoms;;;;KY709212;Compsopogonophyceae
KY710899.1_490;N1975;;;;;;;;AB430665.1;Diatoms;;;;LC648958;Cryptophyceae
KM438414.1_794;N1980;;;;;;;;MW679511;Diatoms;;;;LC648961;Cryptophyceae
EF113459.1_1010;N2005;;;;;;;;EF067921;Diatoms;;;;EF508371;Cryptophyceae
KY710898.1_491;N1992;;;;;;;;ptMAG_rbcL_18;Diatoms;;;;LC648963;Cryptophyceae
KM462874_1259;N2015;;;;;;;;ptMAG_rbcL_23;Diatoms;;;;OP888486;Embryophyceae
NC_025542_1350;N2032;;;;;;;;NC_058878;Diatoms;;;;KJ958483;Mediophyceae
ptMAG_rbcL_168_231;N1271;;;;;;;;OQ029502.1;Diatoms;;;;KJ461681;Zygnemophyceae
KM462883_1262;N1282;;;;;;;;DQ514793.1;Diatoms;;;;OR350844;Chlorophyceae
AP017927_1233;N1185;;;;;;;;ptMAG_rbcL_22;Diatoms;;;;NC_053868;Schizocladiophyceae
NC_084269_1410;N1180;;;;;;;;ptMAG_rbcL_24;Diatoms;;;;HQ700713;Chlorophyceae
JX018187.1_945;N1189;;;;;;;;DQ514791.1;Diatoms;;;;MH356727;Bacillariophyceae
OQ208932.1_309;N1216;;;;;;;;MW592700;Diatoms;;;;MW679511;Mediophyceae
MF278346.1_605;N1941;;;;;;;;HM627327.1;Diatoms;;;;NC_042251;Chlorophyceae
JX018186.1_946;N1930;;;;;;;;HM627328.1;Diatoms;;;;NC_030355;Zygnemophyceae
MN334216.1_445;N1951;;;;;;;;KJ577905.1;Diatoms;;;;AY958085;Zygnemophyceae
KY710857.1_507;N1956;;;;;;;;MW324603.1;Diatoms;;;;NC_037923;Chlorophyceae
KY283835.1_639;N1770;;;;;;;;HQ912493.1;Diatoms;;;;OM827249;Coscinodiscophyceae
AF212144.1_471;N1817;;;;;;;;AB430681.1;Diatoms;;;;KM462864;Trebouxiophyceae
LK022434.1_818;N1307;;;;;;;;HQ912537.1;Diatoms;;;;NC_008372;Chlorophyceae
KU059765_1278;N1340;;;;;;;;JX401248.1;Diatoms;;;;OR858607;Klebsormidiophyceae
KY819063_1287;N2617;;;;;;;;MN473946.1;Diatoms;;;;OP179283;Euglenida
LN810504_1293;N2631;;;;;;;;KR048214.1;Diatoms;;;;NC_065389;Trebouxiophyceae
NC_013359_1333;N2652;;;;;;;;MN473936.1;Diatoms;;;;NC_025524;Trebouxiophyceae
NC_039524_1382;N2637;;;;;;;;DQ514763.1;Diatoms;;;;NC_040134;Chrysophyceae
KY819066_1289;N977;;;;;;;;NC_038004;Diatoms;;;;MH795129;Chrysophyceae
KX808497_1284;N986;;;;;;;;MG755792;Diatoms;;;;MH795128;Chrysophyceae
LK022433.1_819;N969;;;;;;;;AB430675.1;Diatoms;;;;NC_067957;Mediophyceae
MH591108_1306;N960;;;;;;;;KR048216.1;Diatoms;;;;NC_086752;Chlorophyceae
OK189524_1415;N952;;;;;;;;KF701604.1;Diatoms;;;;NC_086754;Chlorophyceae
OQ349515_1432;N939;;;;;;;;ptMAG_rbcL_27;Diatoms;;;;ON645926;Chlorodendrophyceae
OK189528_1417;N2676;;;;;;;;HQ656823.1;Diatoms;;;;NC_067041;Chlorodendrophyceae
KU979013_1281;N2679;;;;;;;;KC509520;Diatoms;;;;NC_060857;Bacillariophyceae
OK189529_1418;N2688;;;;;;;;AB430672.1;Diatoms;;;;OK637333;Bacillariophyceae
OK189531_1419;N2831;;;;;;;;MF092971.1;Diatoms;;;;MW592700;Mediophyceae
OK189527_1416;N2801;;;;;;;;HQ912492.1;Diatoms;;;;NC_058878;Mediophyceae
AB038487.1_1053;N2708;;;;;;;;KU851892.1;Diatoms;;;;EF067921;Mediophyceae
AB619272.1_875;N666;;;;;;;;KJ577879.1;Diatoms;;;;NC_040291;Prymnesiophyceae
FJ432642.1_797;N605;;;;;;;;AB430684.1;Diatoms;;;;NC_031425;Mediophyceae
NC_039526_1384;N494;;;;;;;;MF092965.1;Diatoms;;;;NC_027288;Euglenida
FJ432649.1_795;N673;;;;;;;;MF092946.1;Diatoms;;;;NC_045839;Trebouxiophyceae
NC_039522_1380;N905;;;;;;;;JN975264.1;Diatoms;;;;NC_060532;Ulvophyceae
MT783050.1_439;N686;;;;;;;;MF092979.1;Diatoms;;;;MZ334625;Ulvophyceae
MK792749_1315;N482;;;;;;;;JX413560.1;Diatoms;;;;NC_043776;Ulvophyceae
MG753774_1449;N461;;;;;;;;KU851891.1;Diatoms;;;;NC_028578;Chlorophyceae
NC_031368_1372;N429;;;;;;;;MF092916.1;Diatoms;;;;NC_038002;Coscinodiscophyceae
NC_039523_1381;N2850;;;;;;;;MF092911.1;Diatoms;;;;NC_034709;Ulvophyceae
AB619258.1_877;N2839;;;;;;;;MF092914.1;Diatoms;;;;MT383642;Bacillariophyceae
KM186533.1_820;N413;;;;;;;;MF092897.1;Diatoms;;;;AY835431;Ulvophyceae
MH591102_1304;N412;;;;;;;;MN276191;Diatoms;;;;NC_026796;Ulvophyceae
MT783074.1_463;N1144;;;;;;;;KU851880.1;Diatoms;;;;NC_039527;Ulvophyceae
FJ432643.1_796;N1139;;;;;;;;AB430683.1;Diatoms;;;;MH591112;Ulvophyceae
KY819065_1288;N1129;;;;;;;;KU851888.1;Diatoms;;;;OQ694380;Bacillariophyceae
OR426990.1_322;N2458;;;;;;;;MZ063791.1;Diatoms;;;;OQ349516;Ulvophyceae
NC_039520_1379;N2465;;;;;;;;KF701607.1;Diatoms;;;;MN659374;Oligohymenophorea
MT783143.1_462;N2438;;;;;;;;MH040266.1;Diatoms;;;;EU912438;Xanthophyceae
MT783044.1_440;N2449;;;;;;;;JN975260.1;Diatoms;;;;MZ504745;Eustigmatophyceae
NC_039525_1383;N2357;;;;;;;;NC_038008;Diatoms;;;;HM222968;Colpodellidea
MH591104_1305;N2378;;;;;;;;AB430685.1;Diatoms;;;;NC_025526;Trebouxiophyceae
ON584177_1420;N2214;;;;;;;;JN975257.1;Diatoms;;;;NC_072904;Trebouxiophyceae
FJ432640.1_798;N2265;;;;;;;;JN975256.1;Diatoms;;;;KM462872;Trebouxiophyceae
NC_026796_1353;N2114;;;;;;;;MH040254.1;Diatoms;;;;AY958086;Zygnemophyceae
MH591112_1307;N2122;;;;;;;;AB430673.1;Diatoms;;;;AY177739.1;Ulvophyceae
NC_039527_1385;N2141;;;;;;;;HQ912524.1;Diatoms;;;;AY177737.1;Ulvophyceae
AY942172.1_700;N2144;;;;;;;;JN975254.1;Diatoms;;;;AY177738.1;Ulvophyceae
AB700352.1_874;N2091;;;;;;;;OL457301.1;Diatoms;;;;MW324580.1;Bacillariophyceae
AP014542_1231;N2080;;;;;;;;ptMAG_rbcL_32;Diatoms;;;;KT943615.1;Bacillariophyceae
AY942175.1_699;N1977;;;;;;;;ptMAG_rbcL_7;Diatoms;;;;MH064054.1;Bacillariophyceae
AB619262.1_876;N1988;;;;;;;;HQ912457.1;Diatoms;;;;HQ912458.1;Bacillariophyceae
AP014543_1232;N1981;;;;;;;;OQ694381;Diatoms;;;;PP374894.1;Bacillariophyceae
KM462872_1258;N2007;;;;;;;;KJ577910.1;Diatoms;;;;OM686885.1;Bacillariophyceae
HQ317294.1_647;N2002;;;;;;;;ptMAG_rbcL_20;Diatoms;;;;KC309546.1;Bacillariophyceae
NC_025548_1351;N1993;;;;;;;;ptMAG_rbcL_35;Diatoms;;;;KC309545.1;Bacillariophyceae
ptMAG_rbcL_176_239;N2027;;;;;;;;HQ912448.1;Diatoms;;;;MT432474.1;Bacillariophyceae
KM462884_1263;N2016;;;;;;;;AB430682.1;Diatoms;;;;FJ002151.1;Bacillariophyceae
KT253163.1_778;N2034;;;;;;;;MW324625.1;Diatoms;;;;KC309548.1;Bacillariophyceae
